"article_name","year","yrwk_start","yrwk_end","month","week","sales","category_1","category_2","promo_01","promo_02","promo_03","promo_04","promo_05"
"1","BIFIDUS JOGH. NATURE 500G",2016,"2016-01-04","2016-01-10",1,1,6099,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"2","BIFIDUS JOGH. NATURE 500G",2016,"2016-01-11","2016-01-17",1,2,6407,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"3","BIFIDUS JOGH. NATURE 500G",2016,"2016-01-18","2016-01-24",1,3,5476,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"4","BIFIDUS JOGH. NATURE 500G",2016,"2016-01-25","2016-01-31",1,4,5311,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"5","BIFIDUS JOGH. NATURE 500G",2016,"2016-02-01","2016-02-07",2,5,5199,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"6","BIFIDUS JOGH. NATURE 500G",2016,"2016-02-08","2016-02-14",2,6,5470,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"7","BIFIDUS JOGH. NATURE 500G",2016,"2016-02-15","2016-02-21",2,7,5370,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"8","BIFIDUS JOGH. NATURE 500G",2016,"2016-02-22","2016-02-28",2,8,6034,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"9","BIFIDUS JOGH. NATURE 500G",2016,"2016-02-29","2016-03-06",3,9,7184,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"10","BIFIDUS JOGH. NATURE 500G",2016,"2016-03-07","2016-03-13",3,10,5943,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"11","BIFIDUS JOGH. NATURE 500G",2016,"2016-03-14","2016-03-20",3,11,5921,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"12","BIFIDUS JOGH. NATURE 500G",2016,"2016-03-21","2016-03-27",3,12,6215,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"13","BIFIDUS JOGH. NATURE 500G",2016,"2016-03-28","2016-04-03",3,13,5031,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"14","BIFIDUS JOGH. NATURE 500G",2016,"2016-04-04","2016-04-10",4,14,5907,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"15","BIFIDUS JOGH. NATURE 500G",2016,"2016-04-11","2016-04-17",4,15,5800,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"16","BIFIDUS JOGH. NATURE 500G",2016,"2016-04-18","2016-04-24",4,16,5775,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"17","BIFIDUS JOGH. NATURE 500G",2016,"2016-04-25","2016-05-01",4,17,5558,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,1,0,0
"18","BIFIDUS JOGH. NATURE 500G",2016,"2016-05-02","2016-05-08",5,18,5352,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"19","BIFIDUS JOGH. NATURE 500G",2016,"2016-05-09","2016-05-15",5,19,6445,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"20","BIFIDUS JOGH. NATURE 500G",2016,"2016-05-16","2016-05-22",5,20,5551,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"21","BIFIDUS JOGH. NATURE 500G",2016,"2016-05-23","2016-05-29",5,21,6894,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"22","BIFIDUS JOGH. NATURE 500G",2016,"2016-05-30","2016-06-05",6,22,6328,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"23","BIFIDUS JOGH. NATURE 500G",2016,"2016-06-06","2016-06-12",6,23,6083,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"24","BIFIDUS JOGH. NATURE 500G",2016,"2016-06-13","2016-06-19",6,24,6002,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,1,0,0
"25","BIFIDUS JOGH. NATURE 500G",2016,"2016-06-20","2016-06-26",6,25,5842,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"26","BIFIDUS JOGH. NATURE 500G",2016,"2016-06-27","2016-07-03",6,26,5985,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"27","BIFIDUS JOGH. NATURE 500G",2016,"2016-07-04","2016-07-10",7,27,6807,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"28","BIFIDUS JOGH. NATURE 500G",2016,"2016-07-11","2016-07-17",7,28,5149,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"29","BIFIDUS JOGH. NATURE 500G",2016,"2016-07-18","2016-07-24",7,29,5199,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"30","BIFIDUS JOGH. NATURE 500G",2016,"2016-07-25","2016-07-31",7,30,5438,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"31","BIFIDUS JOGH. NATURE 500G",2016,"2016-08-01","2016-08-07",8,31,5314,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"32","BIFIDUS JOGH. NATURE 500G",2016,"2016-08-08","2016-08-14",8,32,5582,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"33","BIFIDUS JOGH. NATURE 500G",2016,"2016-08-15","2016-08-21",8,33,7444,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"34","BIFIDUS JOGH. NATURE 500G",2016,"2016-08-22","2016-08-28",8,34,5935,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"35","BIFIDUS JOGH. NATURE 500G",2016,"2016-08-29","2016-09-04",9,35,5798,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"36","BIFIDUS JOGH. NATURE 500G",2016,"2016-09-05","2016-09-11",9,36,5660,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"37","BIFIDUS JOGH. NATURE 500G",2016,"2016-09-12","2016-09-18",9,37,5756,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"38","BIFIDUS JOGH. NATURE 500G",2016,"2016-09-19","2016-09-25",9,38,5436,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"39","BIFIDUS JOGH. NATURE 500G",2016,"2016-09-26","2016-10-02",9,39,5225,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"40","BIFIDUS JOGH. NATURE 500G",2016,"2016-10-03","2016-10-09",10,40,4701,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"41","BIFIDUS JOGH. NATURE 500G",2016,"2016-10-10","2016-10-16",10,41,4852,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"42","BIFIDUS JOGH. NATURE 500G",2016,"2016-10-17","2016-10-23",10,42,6602,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,1,0,0
"43","BIFIDUS JOGH. NATURE 500G",2016,"2016-10-24","2016-10-30",10,43,5409,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"44","BIFIDUS JOGH. NATURE 500G",2016,"2016-10-31","2016-11-06",11,44,5251,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"45","BIFIDUS JOGH. NATURE 500G",2016,"2016-11-07","2016-11-13",11,45,5312,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"46","BIFIDUS JOGH. NATURE 500G",2016,"2016-11-14","2016-11-20",11,46,5362,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"47","BIFIDUS JOGH. NATURE 500G",2016,"2016-11-21","2016-11-27",11,47,5454,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,1,0,0
"48","BIFIDUS JOGH. NATURE 500G",2016,"2016-11-28","2016-12-04",12,48,5116,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,1,0,0
"49","BIFIDUS JOGH. NATURE 500G",2016,"2016-12-05","2016-12-11",12,49,5709,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,1,0,0
"50","BIFIDUS JOGH. NATURE 500G",2016,"2016-12-12","2016-12-18",12,50,4990,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"51","BIFIDUS JOGH. NATURE 500G",2016,"2016-12-19","2016-12-25",12,51,5438,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"52","BIFIDUS JOGH. NATURE 500G",2016,"2016-12-26","2017-01-01",12,52,3903,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"53","BIFIDUS JOGH. NATURE 500G",2017,"2017-01-02","2017-01-08",1,1,5251,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"54","BIFIDUS JOGH. NATURE 500G",2017,"2017-01-09","2017-01-15",1,2,5897,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"55","BIFIDUS JOGH. NATURE 500G",2017,"2017-01-16","2017-01-22",1,3,6867,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"56","BIFIDUS JOGH. NATURE 500G",2017,"2017-01-23","2017-01-29",1,4,5696,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"57","BIFIDUS JOGH. NATURE 500G",2017,"2017-01-30","2017-02-05",2,5,5716,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"58","BIFIDUS JOGH. NATURE 500G",2017,"2017-02-06","2017-02-12",2,6,5636,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"59","BIFIDUS JOGH. NATURE 500G",2017,"2017-02-13","2017-02-19",2,7,5259,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"60","BIFIDUS JOGH. NATURE 500G",2017,"2017-02-20","2017-02-26",2,8,5221,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"61","BIFIDUS JOGH. NATURE 500G",2017,"2017-02-27","2017-03-05",3,9,7432,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"62","BIFIDUS JOGH. NATURE 500G",2017,"2017-03-06","2017-03-12",3,10,6029,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"63","BIFIDUS JOGH. NATURE 500G",2017,"2017-03-13","2017-03-19",3,11,6405,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"64","BIFIDUS JOGH. NATURE 500G",2017,"2017-03-20","2017-03-26",3,12,6531,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"65","BIFIDUS JOGH. NATURE 500G",2017,"2017-03-27","2017-04-02",3,13,6380,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"66","BIFIDUS JOGH. NATURE 500G",2017,"2017-04-03","2017-04-09",4,14,7803,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"67","BIFIDUS JOGH. NATURE 500G",2017,"2017-04-10","2017-04-16",4,15,6360,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,1,0,0
"68","BIFIDUS JOGH. NATURE 500G",2017,"2017-04-17","2017-04-23",4,16,5032,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"69","BIFIDUS JOGH. NATURE 500G",2017,"2017-04-24","2017-04-30",4,17,7833,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"70","BIFIDUS JOGH. NATURE 500G",2017,"2017-05-01","2017-05-07",5,18,6063,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"71","BIFIDUS JOGH. NATURE 500G",2017,"2017-05-08","2017-05-14",5,19,6278,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"72","BIFIDUS JOGH. NATURE 500G",2017,"2017-05-15","2017-05-21",5,20,6168,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"73","BIFIDUS JOGH. NATURE 500G",2017,"2017-05-22","2017-05-28",5,21,5816,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"74","BIFIDUS JOGH. NATURE 500G",2017,"2017-05-29","2017-06-04",6,22,6972,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"75","BIFIDUS JOGH. NATURE 500G",2017,"2017-06-05","2017-06-11",6,23,5721,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"76","BIFIDUS JOGH. NATURE 500G",2017,"2017-06-12","2017-06-18",6,24,5781,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"77","BIFIDUS JOGH. NATURE 500G",2017,"2017-06-19","2017-06-25",6,25,6581,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"78","BIFIDUS JOGH. NATURE 500G",2017,"2017-06-26","2017-07-02",6,26,8030,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,0,0,0
"79","BIFIDUS JOGH. NATURE 500G",2017,"2017-07-03","2017-07-09",7,27,5845,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",1,0,1,0,0
"80","BIFIDUS JOGH. NATURE 500G",2017,"2017-07-10","2017-07-16",7,28,5043,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"81","BIFIDUS JOGH. NATURE 500G",2017,"2017-07-17","2017-07-23",7,29,5181,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"82","BIFIDUS JOGH. NATURE 500G",2017,"2017-07-24","2017-07-30",7,30,4975,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
"83","BIFIDUS JOGH. NATURE 500G",2017,"2017-07-31","2017-08-06",8,31,5464,"JOGHURT 500G / MFP","BECHER 500G ODER MEHR",0,0,0,0,0
